perc_semelhanca,usar,dif_12,nome1,nome2
088,"",RAFAELA ARAUJO ???HOLANDA,rafaela araujo holanda,rafaela araujo de holanda
088,"",MAYCON??? MOURA REBOREDO,maycon moura reboredo,maycon de moura reboredo
088,"",MATHEUS MARTINS ???COSTA,matheus martins da costa,matheus martins costa
088,"",MAGNA ALVES ???VASCONCELOS,magna alves vasconcelos,magna alves de vasconcelos
088,"",LUIS Y?U,luis yu,luis you
088,"",CARINA TRAMONTI ???SOUZA,carina tramonti souza,carina tramonti de souza
087,"",PRECIL ??? NEVES,precil m neves,precil d. neves
087,"",MARCELINO DE SOUZA DURAO J????R,marcelino de souza durao junior,marcelino de souza durao jr
086,"",RAQUEL ??S????A DA SILVA,raquel souza da silva,raquel costa da silva
086,"",GERMANA ALVES ???BRITO,germana alves de brito,germana alves brito
086,"",BRUNO CALDIN ???SILVA,bruno caldin silva,bruno caldin da silva
085,"",ROBERTO SAVIO S????? SANTOS,roberto savio s. santos,roberto savio silva santos
085,"",DEYSE YORGOS ???LIMA,deyse yorgos lima,deyse yorgos de lima
085,"",CASSIANO?????? GONCALVES DE ALBUQUERQUE,cassiano goncalves de albuquerque,cassiano faria goncalves de albuquerque
085,"",CARLOS ALEXANDRE DE AMORIM GARCIA??????,carlos alexandre de amorim garcia filho,carlos alexandre de amorim garcia
085,"",ANA PAULA ???GUEIROS,ana paula s. gueiros,ana paula gueiros
084,"",PRISCILLA TOLENTINO B??????? FERNANDES,priscilla tolentino b. fernandes,priscilla tolentino barbosa fernandes
084,"",LETICIA??? OLIVEIRA,leticia oliveira,leticia de oliveira
084,"",GIOVANA R??? PUNARO,giovana r punaro,giovana rita punaro
084,"",ERIKA LETICIA P?????? NASCIMENTO,erika leticia p. nascimento,erika leticia passos nascimento
084,"",ANDRE L???? BARREIRA,andre luis barreira,andre l. barreira
083,"",MARLENE ANTONIA ????REIS,marlene antonia reis,marlene antonia dos reis
083,"",LUCAS TADEU? ROCHA ????SANTOS,lucas tadeus rocha dos santos,lucas tadeu rocha santos
082,"",ROSA M??A? MOYSES,rosa ma moyses,rosa m. a. moyses
082,"",RODRIGO ??M?????? DA SILVA,rodrigo moura da silva,rodrigo gomes da silva
082,"",FRANCISCO????? VERISSIMO VERON??SE,francisco verissimo veronese,francisco jose verissimo veronose
082,"",BENEDITO J???? PEREIRA,benedito j pereira,benedito jorge pereira
082,"",BARTIRA E?????? PINHEIRO DA COSTA,bartira ercilia pinheiro da costa,bartira e pinheiro da costa
081,"",RODRIGO ????E????O DE OLIVEIRA,rodrigo bueno de oliveira,rodrigo azevedo de oliveira
081,"",ROBSON S????? SERRALHA,robson s. serralha,robson souza serralha
